doc_id,path,error
DOC-0287,data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/CSET_Georgetown/pdfs/Data_Snapshot/CSET_center-for-security-and-emerging-technology-5.pdf,texto vacío tras extracción
DOC-0441,data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/Defensa21_LatAm/defensa21_data/DEFENSA21_articulos-2.json,texto vacío tras extracción
DOC-0442,data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/Defensa21_LatAm/defensa21_data/DEFENSA21_catalog-2.json,texto vacío tras extracción
DOC-0459,data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/RutaN_GEIAL/rutan_pdfs/RUTAN_catalog-2.json,texto vacío tras extracción
DOC-0563,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/CSIS_Aerospace/csis_pdfs/CSIS_catalog-2.json,texto vacío tras extracción
DOC-0628,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/CSIS_Aerospace/pdfs_full/Otros/CSIS_fy17-ndaa-1616-omb-report.pdf,texto vacío tras extracción
DOC-0629,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/CSIS_Aerospace/pdfs_full/Otros/CSIS_fy19-green-book.pdf,"Bounding box (0, 48.959984, 792.0, 563.039816) is not fully within parent page bounding box (-14.4, -11.962200000000053, 777.6, 600.0375999999999)"
DOC-0646,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/CSIS_Aerospace/pdfs_full/Otros/CSIS_nasa-act1958.pdf,texto vacío tras extracción
DOC-0896,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/SWF_full-text.txt,sin extractor para formato 'txt'
DOC-0898,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/SWF_report-data.json,texto vacío tras extracción
DOC-0899,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_68239a54783e8c917bedf423-hs-2025-victoriasamson-web.avif,texto vacío tras extracción
DOC-0900,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_68399caedbb7cbe28229c326-38236.jpg,texto vacío tras extracción
DOC-0901,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_68399cb24dc4a66ec0d2c535-s43-83-082orig.jpg,texto vacío tras extracción
DOC-0902,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_68399cb30e67dd1473cc427a-sts063-712-072medium.jpg,texto vacío tras extracción
DOC-0903,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_685948b82c82d26ce150c2a9-kbrett.jpg,texto vacío tras extracción
DOC-0904,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_69cac182eba666b43b38e5dd-table-5-1-web.jpg,texto vacío tras extracción
DOC-0905,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_69caf750b6a0fce65862de8a-stoplight-chart-execsummary-web.jpg,texto vacío tras extracción
DOC-0906,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_69d5661917fa2d73b0e69452-cscr-head.jpg,texto vacío tras extracción
DOC-0907,data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/SWF_Counterspace/swf_counterspace_2026/images/SWF_6a063f3ccaf9f32a290430b9-asat-by-country-2026.jpg,texto vacío tras extracción
DOC-1302,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes001.pdf,texto vacío tras extracción
DOC-1307,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes006.pdf,texto vacío tras extracción
DOC-1308,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes007.pdf,texto vacío tras extracción
DOC-1309,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes008.pdf,texto vacío tras extracción
DOC-1310,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes009.pdf,texto vacío tras extracción
DOC-1311,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes010.pdf,texto vacío tras extracción
DOC-1312,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes011.pdf,texto vacío tras extracción
DOC-1313,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes012.pdf,texto vacío tras extracción
DOC-1314,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes013.pdf,texto vacío tras extracción
DOC-1315,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes014.pdf,texto vacío tras extracción
DOC-1316,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes015.pdf,texto vacío tras extracción
DOC-1317,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes016.pdf,texto vacío tras extracción
DOC-1318,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes017.pdf,texto vacío tras extracción
DOC-1319,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes018.pdf,texto vacío tras extracción
DOC-1320,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes019.pdf,texto vacío tras extracción
DOC-1321,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes020.pdf,texto vacío tras extracción
DOC-1322,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes021.pdf,texto vacío tras extracción
DOC-1323,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes022.pdf,texto vacío tras extracción
DOC-1325,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes024.pdf,texto vacío tras extracción
DOC-1326,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes025.pdf,texto vacío tras extracción
DOC-1328,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes027.pdf,texto vacío tras extracción
DOC-1330,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes029.pdf,texto vacío tras extracción
DOC-1332,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes031.pdf,texto vacío tras extracción
DOC-1333,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes032.pdf,texto vacío tras extracción
DOC-1334,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes033.pdf,texto vacío tras extracción
DOC-1335,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes034.pdf,texto vacío tras extracción
DOC-1336,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes035.pdf,texto vacío tras extracción
DOC-1338,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes037.pdf,texto vacío tras extracción
DOC-1339,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes038.pdf,texto vacío tras extracción
DOC-1340,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes039.pdf,texto vacío tras extracción
DOC-1342,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes041.pdf,texto vacío tras extracción
DOC-1344,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes043.pdf,texto vacío tras extracción
DOC-1345,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes044.pdf,texto vacío tras extracción
DOC-1346,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes045.pdf,texto vacío tras extracción
DOC-1348,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes047.pdf,texto vacío tras extracción
DOC-1349,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes048.pdf,texto vacío tras extracción
DOC-1350,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes049.pdf,texto vacío tras extracción
DOC-1352,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes051.pdf,texto vacío tras extracción
DOC-1354,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes053.pdf,texto vacío tras extracción
DOC-1356,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes055.pdf,texto vacío tras extracción
DOC-1357,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes056.pdf,texto vacío tras extracción
DOC-1358,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes057.pdf,texto vacío tras extracción
DOC-1359,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes058.pdf,texto vacío tras extracción
DOC-1362,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes061.pdf,texto vacío tras extracción
DOC-1363,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Alertas_Tempranas/pdfs/Informes/ALERTAS_informes062.pdf,texto vacío tras extracción
DOC-1365,data/raw/CODEFEST/F3_Dinamicas_Territoriales/Amazon_Underworld/AMAZONUW_tiles-index.json,texto vacío tras extracción
DOC-1519,data/raw/CODEFEST/F3_Dinamicas_Territoriales/CEEEP/ceeep_catalogo.json,texto vacío tras extracción
DOC-1520,data/raw/CODEFEST/F3_Dinamicas_Territoriales/CEEEP/ceeep_registro.json,texto vacío tras extracción
DOC-1540,data/raw/CODEFEST/F3_Dinamicas_Territoriales/CEOBS/ceobs_data/CEOBS_catalog-2.json,texto vacío tras extracción
DOC-1543,data/raw/CODEFEST/F3_Dinamicas_Territoriales/CEOBS/ceobs_full_catalogo.json,texto vacío tras extracción
DOC-1544,data/raw/CODEFEST/F3_Dinamicas_Territoriales/CEOBS/ceobs_full_registro.json,texto vacío tras extracción
DOC-1562,data/raw/CODEFEST/F3_Dinamicas_Territoriales/MAPP_OEA/mapp_catalogo.json,texto vacío tras extracción
DOC-1563,data/raw/CODEFEST/F3_Dinamicas_Territoriales/MAPP_OEA/mapp_registro.json,texto vacío tras extracción
DOC-1565,data/raw/CODEFEST/F3_Dinamicas_Territoriales/MAPP_OEA/oea/mapp_oea_informes/MAPPOEA_mapp-catalog.json,texto vacío tras extracción
DOC-1568,data/raw/CODEFEST/F3_Dinamicas_Territoriales/MAPP_OEA/pdfs/2008/MAPPOEA_2008-la-memoria-como-forma-de-resistencia-de-los-arhuacos.pdf,"Bounding box (0, 53.29134400000001, 481.8898, 612.8504560000001) is not fully within parent page bounding box (14.1732, -14.173199999999952, 496.063, 651.9686000000002)"
