path,extension,size_kb,fenomeno
data/raw/CODEFEST/Extracto_Preguntas_50_v2.pdf,.pdf,36.6,raw
data/raw/CODEFEST/Indice_Datos_Codefest.xlsx,.xlsx,155.6,raw
data/raw/CODEFEST/F3_Dinamicas_Territoriales/.DS_Store,,6.0,raw
data/raw/CODEFEST/F3_Dinamicas_Territoriales/FASE ORDENADA CODEFEST.xlsx,.xlsx,19.4,raw
data/raw/CODEFEST/F1_IA_y_Capacidades_Estrategicas/.DS_Store,,6.0,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/.DS_Store,,6.0,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/CSIS_Aerospace/.DS_Store,,6.0,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/pdfs/INPE_nota-tecnica-el-nino-2026-final-160626.pdf,.pdf,2054.7,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/pdfs/INPE_notatecnicaconjuntaelnino2026-inpeinmetfuncemecensipam.pdf,.pdf,1214.1,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/pdfs/INPE_agenda-final.pdf,.pdf,367.5,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/pdfs/INPE_painelelniojunho26.pdf,.pdf,2357.8,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/noticias/INPE_2026-07-03-ciencia-e-fe-caminham-juntas-imersoes-no-inpe-e-no-cemaden-mobilizam-lider.json,.json,31.8,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/noticias/INPE_2026-04-06-pesquisador-aposentado-do-inpe-carlos-nobre-e-nomeado-conselheiro-no-vatic.json,.json,3.7,raw
data/raw/CODEFEST/F2_Seguridad_Entorno_Espacial/INPE/noticias/INPE_2026-04-01-nova-norma-do-cmn-incorpora-dados-do-prodes-na-analise-de-credito-rural.json,.json,6.5,raw
