Year: 2020, Count: 495

Year: 2019, Count: 861

Year: 2018, Count: 617

Year: 2017, Count: 503

Year: 2016, Count: 393

Year: 2015, Count: 625

Year: 2014, Count: 459

Year: 2013, Count: 432

Year: 2012, Count: 315

Year: 2011, Count: 236

Year: 2010, Count: 241

Year: 2009, Count: 220

Year: 2008, Count: 422

Year: 2007, Count: 293

Year: 2006, Count: 243

Year: 2005, Count: 241

Year: 2004, Count: 185

Year: 2003, Count: 116

Year: 2002, Count: 75

Year: 2001, Count: 49

Year: 2000, Count: 59

Year: 1999, Count: 34

Year: 1998, Count: 58

Year: 1997, Count: 35

Year: 1996, Count: 23

Year: 1995, Count: 68

Year: 1994, Count: 28

Year: 1993, Count: 22

Year: 1992, Count: 19

Year: 1991, Count: 25

Year: 1990, Count: 13

Year: 1989, Count: 11

Year: 1988, Count: 11

Year: 1987, Count: 7

Year: 1986, Count: 2

Year: 1984, Count: 4

Year: 1983, Count: 2

Year: 1982, Count: 3

Year: 1981, Count: 1

Year: 1979, Count: 2

Year: 1978, Count: 1

Year: 1972, Count: 1

Year: 1970, Count: 1

Year: 1960, Count: 1
