Year: 2020, Count: 4823

Year: 2019, Count: 7514

Year: 2018, Count: 6566

Year: 2017, Count: 6045

Year: 2016, Count: 5268

Year: 2015, Count: 4864

Year: 2014, Count: 4351

Year: 2013, Count: 3912

Year: 2012, Count: 3266

Year: 2011, Count: 3051

Year: 2010, Count: 2240

Year: 2009, Count: 2019

Year: 2008, Count: 1677

Year: 2007, Count: 1426

Year: 2006, Count: 1142

Year: 2005, Count: 985

Year: 2004, Count: 907

Year: 2003, Count: 707

Year: 2002, Count: 522

Year: 2001, Count: 485

Year: 2000, Count: 435

Year: 1999, Count: 318

Year: 1998, Count: 292

Year: 1997, Count: 231

Year: 1996, Count: 166

Year: 1995, Count: 133

Year: 1994, Count: 120

Year: 1993, Count: 103

Year: 1992, Count: 99

Year: 1991, Count: 92

Year: 1990, Count: 76

Year: 1989, Count: 59

Year: 1988, Count: 59

Year: 1987, Count: 48

Year: 1986, Count: 36

Year: 1985, Count: 34

Year: 1984, Count: 22

Year: 1983, Count: 15

Year: 1982, Count: 9

Year: 1981, Count: 7

Year: 1980, Count: 7

Year: 1979, Count: 5

Year: 1978, Count: 3

Year: 1977, Count: 1

Year: 1976, Count: 1

Year: 1975, Count: 2

Year: 1974, Count: 1

Year: 1973, Count: 2

Year: 1972, Count: 1

Year: 1970, Count: 3

Year: 1969, Count: 6

Year: 1968, Count: 4

Year: 1967, Count: 4

Year: 1966, Count: 3

Year: 1965, Count: 2

Year: 1962, Count: 1

Year: 1961, Count: 1

Year: 1960, Count: 1

Year: 1956, Count: 1

Year: 1953, Count: 1

Year: 1952, Count: 1

Year: 1951, Count: 1
