tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 863, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41319, b_ADM1_ES: Huila, b_ADM2_ES: Guadalupe, au_area_km2: 249.41

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 865, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41298, b_ADM1_ES: Huila, b_ADM2_ES: Garzón, au_area_km2: 606.11

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1211, b_ADM1_PCODE: VE16, b_ADM2_PCODE: VE1608, b_ADM1_ES: Monagas, b_ADM2_ES: Maturín, au_area_km2: 12970.55

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1212, b_ADM1_PCODE: VE12, b_ADM2_PCODE: VE1206, b_ADM1_ES: Guárico, b_ADM2_ES: Las Mercedes, au_area_km2: 8021.71

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1213, b_ADM1_PCODE: VE12, b_ADM2_PCODE: VE1205, b_ADM1_ES: Guárico, b_ADM2_ES: Leonardo Infante, au_area_km2: 9893.99

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1214, b_ADM1_PCODE: VE12, b_ADM2_PCODE: VE1203, b_ADM1_ES: Guárico, b_ADM2_ES: El Socorro, au_area_km2: 2820.13

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1218, b_ADM1_PCODE: VE16, b_ADM2_PCODE: VE1607, b_ADM1_ES: Monagas, b_ADM2_ES: Libertador, au_area_km2: 3162.13

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1221, b_ADM1_PCODE: VE16, b_ADM2_PCODE: VE1612, b_ADM1_ES: Monagas, b_ADM2_ES: Sotillo, au_area_km2: 1821.56

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1223, b_ADM1_PCODE: VE16, b_ADM2_PCODE: VE1613, b_ADM1_ES: Monagas, b_ADM2_ES: Uracoa, au_area_km2: 1747.12

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1225, b_ADM1_PCODE: VE03, b_ADM2_PCODE: VE0310, b_ADM1_ES: Anzoátegui, b_ADM2_ES: José Gregorio Monagas, au_area_km2: 9891.99

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1226, b_ADM1_PCODE: VE03, b_ADM2_PCODE: VE0307, b_ADM1_ES: Anzoátegui, b_ADM2_ES: Independencia, au_area_km2: 6935.67

